type,city,district,voted,voted_agree,voted_disagree,valid,invalid,eligible
district,彰化縣,埔心鄉,7797.0,6083.0,1635.0,7718.0,79.0,29227.0
district,彰化縣,永靖鄉,8423.0,6626.0,1700.0,8326.0,97.0,29945.0
district,彰化縣,社頭鄉,9027.0,6957.0,1953.0,8910.0,117.0,35188.0
district,彰化縣,二水鄉,3231.0,2438.0,742.0,3180.0,51.0,12164.0
district,彰化縣,北斗鎮,7441.0,5885.0,1477.0,7362.0,79.0,27921.0
district,彰化縣,二林鎮,9704.0,7910.0,1649.0,9559.0,145.0,41187.0
district,彰化縣,田尾鄉,6021.0,4725.0,1218.0,5943.0,78.0,22324.0
district,彰化縣,埤頭鄉,5757.0,4607.0,1079.0,5686.0,71.0,24631.0
district,彰化縣,芳苑鄉,5613.0,4452.0,1075.0,5527.0,86.0,27046.0
district,彰化縣,大城鄉,2504.0,2077.0,383.0,2460.0,44.0,13146.0
district,彰化縣,竹塘鄉,2357.0,1790.0,543.0,2333.0,24.0,11869.0
district,彰化縣,溪州鄉,5301.0,3988.0,1242.0,5230.0,71.0,24298.0
city,南投縣,,194514.0,136907.0,53895.0,190802.0,3712.0,410405.0
district,南投縣,南投市,42439.0,30127.0,11618.0,41745.0,694.0,82636.0
district,南投縣,埔里鎮,32124.0,23058.0,8479.0,31537.0,587.0,66249.0
district,南投縣,草屯鎮,41615.0,29475.0,11428.0,40903.0,712.0,83825.0
district,南投縣,竹山鎮,20019.0,13493.0,6107.0,19600.0,419.0,44355.0
district,南投縣,集集鎮,4393.0,3038.0,1258.0,4296.0,97.0,8713.0
district,南投縣,名間鄉,15515.0,9893.0,5236.0,15129.0,386.0,31406.0
district,南投縣,鹿谷鄉,6686.0,4721.0,1819.0,6540.0,146.0,14401.0
district,南投縣,中寮鄉,5621.0,3948.0,1550.0,5498.0,123.0,11967.0
district,南投縣,魚池鄉,5494.0,3855.0,1531.0,5386.0,108.0,12871.0
district,南投縣,國姓鄉,6802.0,4968.0,1672.0,6640.0,162.0,14913.0
district,南投縣,水里鄉,6357.0,4366.0,1859.0,6225.0,132.0,14052.0
district,南投縣,信義鄉,3880.0,2934.0,866.0,3800.0,80.0,12524.0
district,南投縣,仁愛鄉,3569.0,3031.0,472.0,3503.0,66.0,12493.0
city,雲林縣,,128698.0,98165.0,29429.0,127594.0,1104.0,567994.0
district,雲林縣,斗六市,25669.0,20339.0,5114.0,25453.0,216.0,91669.0
district,雲林縣,斗南鎮,10188.0,7691.0,2421.0,10112.0,76.0,37669.0
district,雲林縣,虎尾鎮,15002.0,12061.0,2850.0,14911.0,91.0,59832.0
district,雲林縣,西螺鎮,8259.0,5782.0,2402.0,8184.0,75.0,37393.0
district,雲林縣,土庫鎮,4946.0,3821.0,1097.0,4918.0,28.0,23600.0
district,雲林縣,北港鎮,7611.0,5347.0,2202.0,7549.0,62.0,32243.0
district,雲林縣,古坑鄉,6326.0,4784.0,1481.0,6265.0,61.0,26390.0
district,雲林縣,大埤鄉,3590.0,2629.0,931.0,3560.0,30.0,15786.0
district,雲林縣,莿桐鄉,5644.0,3991.0,1584.0,5575.0,69.0,23923.0
district,雲林縣,林內鄉,3583.0,2793.0,752.0,3545.0,38.0,14493.0
district,雲林縣,二崙鄉,4338.0,2879.0,1405.0,4284.0,54.0,21855.0
district,雲林縣,崙背鄉,4124.0,2968.0,1103.0,4071.0,53.0,19772.0
district,雲林縣,麥寮鄉,7214.0,6064.0,1099.0,7163.0,51.0,40672.0
district,雲林縣,東勢鄉,2221.0,1789.0,413.0,2202.0,19.0,11915.0
district,雲林縣,褒忠鄉,2200.0,1728.0,453.0,2181.0,19.0,10385.0
district,雲林縣,臺西鄉,3653.0,3045.0,576.0,3621.0,32.0,19037.0
district,雲林縣,元長鄉,3756.0,2881.0,840.0,3721.0,35.0,20593.0
district,雲林縣,四湖鄉,3106.0,2450.0,631.0,3081.0,25.0,18725.0
district,雲林縣,口湖鄉,3880.0,2842.0,991.0,3833.0,47.0,21953.0
district,雲林縣,水林鄉,3388.0,2281.0,1084.0,3365.0,23.0,20089.0
city,嘉義縣,,99582.0,71315.0,27545.0,98860.0,722.0,424950.0
district,嘉義縣,太保市,7797.0,5773.0,1971.0,7744.0,53.0,33698.0
